taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7873980	Polyporus alveolarius (DC.) Bondartsev & Singer	7873980	Polyporus alveolarius (DC.) Bondartsev & Singer	5	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Polyporaceae	3286	Polyporus	2518643	Polyporus alveolarius	7873980	
2537562	Collybia confluens (Pers.) P.Kumm.	9022347	Gymnopus confluens (Pers.) Antonín, Halling & Noordel.	5	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Omphalotaceae	3305518	Gymnopus	2527767	Gymnopus confluens	9022347	
5954929	Boletus porosporus Imler ex G.Moreno & Bon	2519577	Xerocomellus porosporus (Imler ex Watling) Šutara	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Xerocomellus	7240529	Xerocomellus porosporus	2519577	
8974057	Macropodia macropus (Pers.) Fuckel	2594776	Helvella macropus (Pers.) P.Karst.	5	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Pezizomycetes	316	Pezizales	1057	Helvellaceae	7006	Helvella	2521377	Helvella macropus	2594776	
5238373	Clavaria ligula Schaeff.	2521387	Clavariadelphus ligula (Schaeff.) Donk	3	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Gomphales	1303	Clavariadelphaceae	8466	Clavariadelphus	2521383	Clavariadelphus ligula	2521387	
3322936	Marasmius siccus (Schwein.) Fr.	3322936	Marasmius siccus (Schwein.) Fr.	5	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Marasmiaceae	4179	Marasmius	2526678	Marasmius siccus	3322936	
3552995	Rhodophyllus violaceus (Murrill) Singer	7408140	Entoloma cyaneum Sacc.	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Entolomataceae	4174	Entoloma	2530002	Entoloma cyaneum	7408140	
2521391	Clavariadelphus pistillaris (L.) Donk	2521391	Clavariadelphus pistillaris (L.) Donk	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Gomphales	1303	Clavariadelphaceae	8466	Clavariadelphus	2521383	Clavariadelphus pistillaris	2521391	
2524490	Leccinum versipelle (Fr. & Hök) Snell	2524490	Leccinum versipelle (Fr. & Hök) Snell	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Leccinum	2520104	Leccinum versipelle	2524490	
7988694	Boletus luridus Schaeff.	3355021	Suillellus luridus (Schaeff.) Murrill	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Suillellus	7240504	Suillellus luridus	3355021	
2525710	Hygrophoropsis aurantiaca (Wulfen) Maire	2525710	Hygrophoropsis aurantiaca (Wulfen) Maire	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Hygrophoropsidaceae	4194	Hygrophoropsis	2525560	Hygrophoropsis aurantiaca	2525710	
3280670	Rhodophyllus clypeatus (L.) Quél.	3345846	Entoloma clypeatum (L.) P.Kumm.	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Entolomataceae	4174	Entoloma	2530002	Entoloma clypeatum	3345846	
5237602	Odontia crustula L.W.Mill.	3360884	Xylodon brevisetus (P.Karst.) Hjortstam & Ryvarden	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Hymenochaetales	1304	Schizoporaceae	3298	Xylodon	2519089	Xylodon brevisetus	3360884	
3344252	Pholiota terrestris Overh.	3344252	Pholiota terrestris Overh.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Strophariaceae	4186	Pholiota	2528397	Pholiota terrestris	3344252	
2542395	Fomitopsis pinicola (Sw.) P.Karst.	2542395	Fomitopsis pinicola (Sw.) P.Karst.	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Fomitopsidaceae	7619	Fomitopsis	2523631	Fomitopsis pinicola	2542395	
2536892	Armillariella mellea (Vahl) P.Karst.	2536891	Armillaria mellea (Vahl) P.Kumm.	6	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Physalacriaceae	4182	Armillaria	2526021	Armillaria mellea	2536891	
7240220	Lactarius gerardii Peck	7240220	Lactarius gerardii Peck	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Russulaceae	7609	Lactarius	2532156	Lactarius gerardii	7240220	
2584551	Chlorosplenium aeruginosum (Oeder) De Not.	5256939	Chlorociboria aeruginosa (Oeder) Seaver ex C.S.Ramamurthi, Korf & L.R.Batra	3	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Leotiomycetes	179	Helotiales	1052	Chlorociboriaceae	8157518	Chlorociboria	8034517	Chlorociboria aeruginosa	5256939	
2535598	Leucocoprinus birnbaumii (Corda) Singer	2535598	Leucocoprinus birnbaumii (Corda) Singer	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Leucocoprinus	2535536	Leucocoprinus birnbaumii	2535598	
